objective,z_dim,V,n_users,encoder_params_K,best_val_acc,final_epoch,separation_med,separation_mean,kappa_med,kappa_mean,lambda_min_med,cond_med,intra_spread_med,inter_user_dist_med,retrieval_acc,n_users_valid
ce,8,13026,1000,3346.5,0.004533333238214254,49,0.5105186547845939,0.5465449689499544,3.518536881934471,3.6727099035266972,0.1501628894708251,0.526971427269769,2.3665002584457397,1.198895626784385,0.007,1000
supcon,8,13026,1000,3346.5,-1.0,15,0.48988706445164465,0.5542389667192358,3.438489976943489,3.594207112756669,0.0078650505338754,0.02752539566618807,1.5420649647712708,0.7485583295674624,0.004,1000
ce_supcon,8,13026,1000,3346.5,0.0018666667165234685,16,0.34147656332180165,0.3801240095575344,2.6336063833168835,2.7356323963637417,0.0004996660625777136,0.0013388598595710324,0.13566716015338898,0.04603077813300553,0.002,1000
ce,16,13026,1000,3356.5,0.004533333238214254,51,0.712540152018512,0.7876842465600569,9.423762508872747,10.004097880288626,0.004942578790768853,0.04641759899768103,3.450138211250305,2.4679667858986765,0.005,1000
supcon,16,13026,1000,3356.5,-1.0,15,0.5118119371529539,0.5877353894903724,5.340065171384964,5.602137843438269,0.005432170309706676,0.02949710080744783,1.9395192861557007,0.9989648701714443,0.012,1000
ce_supcon,16,13026,1000,3356.5,0.0018666667165234685,34,0.5216938962786398,0.5815565755550851,5.687397751605303,6.005557359648386,0.005435254665081032,0.03170007570979136,1.2850010991096497,0.6723288283035442,0.018,1000
