uid,x_16_NLL_test,x_16_avg_mahalanobis_score,x_16_cov_stability_frob,x_16_cov_stability_normalized,x_16_intra_spread,x_16_kappa_profile,x_16_lambda_min_profile,x_16_mu_p_norm,x_16_n_profile,x_16_n_test,x_20_NLL_test,x_20_avg_mahalanobis_score,x_20_cov_stability_frob,x_20_cov_stability_normalized,x_20_intra_spread,x_20_kappa_profile,x_20_lambda_min_profile,x_20_mu_p_norm,x_20_n_profile,x_20_n_test,x_24_NLL_test,x_24_avg_mahalanobis_score,x_24_cov_stability_frob,x_24_cov_stability_normalized,x_24_intra_spread,x_24_kappa_profile,x_24_lambda_min_profile,x_24_mu_p_norm,x_24_n_profile,x_24_n_test,x_28_NLL_test,x_28_avg_mahalanobis_score,x_28_cov_stability_frob,x_28_cov_stability_normalized,x_28_intra_spread,x_28_kappa_profile,x_28_lambda_min_profile,x_28_mu_p_norm,x_28_n_profile,x_28_n_test,x_32_NLL_test,x_32_avg_mahalanobis_score,x_32_cov_stability_frob,x_32_cov_stability_normalized,x_32_intra_spread,x_32_kappa_profile,x_32_lambda_min_profile,x_32_mu_p_norm,x_32_n_profile,x_32_n_test
AE23NZUELB4BYWLHKWJXAS73PTSQ,7.517595773274001,-17.345443553875935,3.611268560497802,0.7735026886198052,5.026952754860562,12581.234193611219,0.002383429360390457,6.294112155208829,252,252,2.101673567367999,-22.28489166617391,3.413577717243579,0.80377334353905,5.286994664238016,27020.089977722142,0.0012236347293619091,6.455787351664297,252,252,-5.362055247365704,-25.5166862265634,4.885041813022448,0.7776075682028214,6.052085243394836,64891.151557625075,0.0006521946555497966,7.41975719463956,252,252,-7.465072066113233,-32.43468933230421,3.78114595938395,0.7930378299330574,5.578513369711315,37056.32207092805,0.0009671491590992996,6.8422031292651395,252,252,-38.000692930259056,-27.76066034009541,5.017910739311725,0.7565292606011407,5.913545674076937,262529.0512435249,0.00015488055729805193,6.82910283458098,252,252
AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,6.9128981276548505,-16.059297302865655,1.9134453496438106,0.8894612031504185,5.106960145132267,14649.307390644033,0.002121889711300011,6.725792728798642,599,588,1.3033717371102838,-20.97177743530158,1.530931815932414,0.9087498068999772,5.224013563856897,27852.006540283877,0.001138542126517111,6.6438086616625425,599,588,-6.388569435693889,-23.49297876400413,2.0995216208255916,0.8945946813234452,5.907738961106248,61922.63841511077,0.0006445865215248985,7.21911636296773,599,588,-9.088372001837275,-28.780029209855847,2.2296746955142996,0.8854429410957353,5.638914468295451,41698.51034858948,0.0008876003478891048,7.000686755390343,599,588,-39.47620475020115,-25.227995272672675,1.9674246520100227,0.8993739193874891,5.7869981964987165,250358.83478928567,0.0001562477336225041,6.763650709118022,599,588
AE2B5CUQIA5ULZCR34UOPOXROEPA,6.874641105851726,-16.604695206322116,1.600774468616841,0.8993894937062629,5.002209701938402,14714.910940307813,0.0020160807474494586,6.410200624058419,696,704,1.1866113816720614,-20.208037666006526,1.5763678363455775,0.9086414270963323,5.3433281351742155,29718.494094540474,0.001119588683240448,6.7048444780290435,696,704,-6.158474960594077,-24.489212303962827,2.2376227777952042,0.892857848848825,5.942646871871807,69001.59510165537,0.0005949801427556345,7.236526371328064,696,704,-8.947214819233686,-28.70480936971722,1.3814814278594023,0.9270457052590957,5.618624196877278,40193.388245316564,0.0009176769262320242,6.928144285970199,696,704,-39.18026761501899,-26.011694630773057,2.151935735808201,0.8891161112629442,5.814356368864185,254226.5213945269,0.00015448127210757049,6.785564936860612,696,704
AE2GO5B2SWCBHIYMOE45YWL7RQHA,10.056497783380934,-16.16710913682961,17.81734872429321,0.704150872628716,8.424427676077066,29242.43669881179,0.00295827428947746,10.416683074103595,273,281,5.29784524648927,-20.513087600327033,17.084264447674197,0.7195314652650077,8.471526649772041,54330.68984659323,0.001619850206136267,9.70446522296253,273,281,-2.12707561879163,-23.057367571379036,19.828616744282176,0.6982854314928889,8.999252611947067,106750.32287702634,0.0009233691896492878,10.677754898383037,273,281,-3.4101441253411826,-29.879253351474294,15.354802291758627,0.7574573780132017,8.843518407774734,74264.24531510686,0.0012705318781439515,10.595934708240376,273,281,-32.04615626539484,-25.148698604486675,14.669177746065424,0.754377797950395,8.878881364718598,281529.28429848864,0.0003319493168001995,10.214742983186937,273,281
AE2RWATLMMUSX7TMKKCP2DYHDCWQ,8.34196728552789,-17.230783735851585,5.108529083320368,0.7765756911467411,5.595683490729246,18177.030903141436,0.0021140585136860037,6.384976095292192,221,230,3.461061447432573,-21.674623928422005,4.731540013813443,0.808638558762514,5.822373414563916,34430.51069385464,0.0012095522227183245,6.315080251177501,221,230,-4.047350568864869,-24.751555201452444,4.8573761354543965,0.814774388289919,6.339612853009772,77567.44722776957,0.0006191431492692768,7.028773328294121,221,230,-5.497255843200337,-32.22321892305948,5.248723703922485,0.8046898131601129,6.210646364805135,49568.08244878487,0.0009529426045044782,6.771240463309144,221,230,-35.955430634324685,-28.02042398694108,5.993079774509013,0.7625770250222363,6.24875398704707,265063.45222367166,0.00017744655718131952,6.53396142869121,221,230
AE2SW5HC66P6DJEXCZJN7IID6ZIA,6.476756496249842,-16.323724913138943,4.3606813815602585,0.6769565095869354,4.805018993306019,13645.32976696785,0.0019273350572702904,5.922024737542527,128,134,1.5986326887245188,-22.93063019685362,5.371230389500299,0.6468853428850292,5.0587055178217915,29405.403500633958,0.0010012102069558806,6.124334074054287,128,134,-6.06519028753396,-26.25189648202112,4.9480730778072575,0.7386049059668417,5.73682060311692,76041.53476310427,0.0004958745097967344,6.992021052696322,128,134,-7.583487105720631,-33.96730748502891,5.943010837542249,0.6424182141408157,5.396943128681654,40733.73975838865,0.0008134658305932452,6.3947809679920615,128,134,-38.01400115830695,-30.772231508452098,5.543703914033392,0.7016636803930201,5.679706997608229,260704.00082951752,0.00014250606704498516,6.529160651799249,128,134
AE2YCIHHZH57ABZB7EWDTCF3WPKA,6.907028830192274,-18.49794747276956,4.527401794841381,0.7689498589188588,5.161164879866449,17296.552968057586,0.0018792791598370717,6.531820878161478,277,316,1.4415908842797218,-24.082134158077906,3.3741686488573945,0.8245632667818341,5.307571827902529,37364.43485206771,0.0008897990386137417,6.533686234708977,277,316,-6.20838280952644,-26.314502304950416,5.475709471520387,0.7538620275957588,5.8888224512051535,89348.13462519465,0.00046364089579630766,7.048037557261879,277,316,-9.287087131624137,-32.813094002172214,4.556838972583826,0.7875408775232481,5.632239116775102,62847.792262486975,0.0006024534357528543,6.83726968924705,277,316,-39.422126357735756,-28.52730374555996,5.4933635930997795,0.7383586082415992,5.787950522831269,281274.88536576007,0.00013978257246198753,6.696427265718464,277,316
AE34VVFABKBA5ZFYOCL3BRUN7QVQ,6.34082641544171,-17.914606104232835,6.407841529008256,0.48268154136166896,4.511533696588462,23992.59938993903,0.0010387499465973704,6.019483797198779,67,62,-0.08675065737561558,-22.489991580636115,6.303116423208739,0.5561101791946825,4.842855598491378,38648.40563939868,0.0007424213264364027,6.360043592463772,67,62,-6.3114055085899645,-29.997284317703254,8.31323494560072,0.5137364268318758,5.397134144770046,100805.64492401629,0.0003572619133232081,6.69748117683827,67,62,-5.841370659709249,-44.65610393667457,7.913893262965572,0.48995172462629166,5.102343489262686,87627.01510320551,0.0003604632112570971,6.5698560330234415,67,62,-41.54019740857611,-27.7839261611229,6.842204099131837,0.5605322577111583,5.3413440019792136,296168.8234004248,0.00011518175842144746,6.393190855719298,67,62
AE35OPCE4E5LOQAODQT5QTD5SFIQ,8.597776195642142,-16.43327024539924,4.238165994342987,0.843926376682367,6.088525483664065,19951.747480700975,0.0023334302136870403,6.645915346728092,382,368,3.613313480464839,-21.134729072422353,5.596277037740076,0.8018421678267935,6.336050018102362,35279.18608801208,0.0014242419669405963,6.607270678325331,382,368,-3.2837144590491247,-25.62519204875331,6.677912049643536,0.7851823878676918,6.993280666605048,91914.9990935368,0.0006404646013993515,7.3141882911659035,382,368,-4.928410213577579,-32.04935799075737,6.120241624339915,0.8019098248231625,6.7915466676336855,53286.93890031422,0.0010564748831065022,7.167250746013523,382,368,-34.79748980247259,-27.097137660312924,7.019926462519813,0.7690284805949984,6.989743494193624,268930.503864191,0.0002189351933543731,6.939654505485872,382,368
AE3LFNXIKCQ2EU7IKXHEEZB4VHYQ,7.396791093295227,-17.576819261474952,2.8282026509776252,0.840024394255074,5.056351237687664,16402.47640230459,0.0018896771406024587,6.033708539862773,293,276,2.214925429779836,-22.46341591944713,3.677363835998091,0.796904233040834,5.268053991111754,30116.350055200106,0.0010975148274220694,5.999681250611926,293,276,-5.580416734686895,-25.157549967120943,4.446586179703359,0.7908917191932092,5.865686311271959,76024.65979155955,0.0005396492842160406,6.57393702535104,293,276,-7.856238246095854,-31.274979247116264,3.9774911103790873,0.7961136675218241,5.57380806272065,46405.90848799301,0.0007888529353341777,6.344056550363901,293,276,-38.15963219692911,-27.795856062968713,4.409225559608528,0.7780019794662731,5.764602596474725,258813.0434972955,0.0001520190135285925,6.170900335693799,293,276
