uid,n_u,n_sents_user,rank_Y_c,n_u_minus_1,rank_deficient,sigma_max,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16
AEKY7KSHVOAC23ECEPRCZNZM2ZSA,50,137,49,49,False,13.268806538026586,0.07428367633013397,0.1300132556759568,0.2202220788213678,0.3708410511880572,0.5975381061795999
AE7ZWVM3BUBG5OFF37ALYQHHVHVQ,50,197,47,49,True,13.836588405739462,0.10029292935787969,0.1615810314261019,0.26015509883545923,0.423986745621805,0.6540161597666385
AGTDSYZFQTJXWDV2UIK642M2WSGQ,50,132,49,49,False,12.036735005939423,0.06812060483680522,0.1259653376446789,0.2166376126615612,0.3624098247877208,0.5773754856721337
AGBULUCAF23WPOCKVOFW7TMRG5SQ,50,151,47,49,True,11.716444056189722,0.10716911385708978,0.2107585961438948,0.33035734803606065,0.4935735904478873,0.7113402837604775
AGTEJVERQWRSFLUOXMZTJLYBOYIQ,50,220,49,49,False,12.31689202452681,0.08224945466090464,0.14375266566749323,0.24036708120844627,0.38540813702750304,0.5967301569098065
AFZ65RCGGPLY6YKWUEZD2CCDNKGQ,50,100,49,49,False,12.002796650800422,0.09031176103638736,0.15440765453754013,0.25559573169293826,0.4052015280148639,0.6146923077071618
AHZGQXTGR3WB6CQR3PP2TB2YPTUA,50,4091,49,49,False,13.275843490478724,0.08041392323232761,0.13145178099901286,0.2209294798972801,0.3713227060694908,0.5892485952039286
AHE23HN6PWWLKQ7NDYTGYXULFTPA,50,100,49,49,False,12.757738926223569,0.0927248347915912,0.1601170861833222,0.2620194621817101,0.41166848499113534,0.6237624649272429
AE45JD5QTQ5VRXCJ6M4CM5TIPOPQ,50,111,49,49,False,13.546581128201511,0.07297427159403244,0.13505417327563538,0.2359577077449662,0.3873288910616103,0.6091173295002372
AEV53RCOPMQNNAYIDOT6K26HPCGQ,50,196,49,49,False,11.780933039238109,0.08302747231728029,0.1413105435819395,0.2393319027761586,0.4007858490032573,0.6314460825039819
AFSQAZ4GRUOGBTBB4IUKKLR4UA5Q,50,139,49,49,False,12.67110049786596,0.0836712636547079,0.13932710776577795,0.23160734277765269,0.3779056285323383,0.5952864298603406
AGZ7N4QS64RBGDJ5HW2Z4BOX2WPQ,50,105,49,49,False,12.162265010916183,0.07757372941398125,0.1373908899195122,0.23810475929033825,0.4000271580014781,0.6242864023891823
AHOHXQZCEU3KDM3TPKZRNCJ3ITVA_2_2,50,790,37,49,True,17.245731484319677,0.15761775913874043,0.27415358919987265,0.38877308856839105,0.55546527144335,0.7738947212921364
AGRCOIA4R2HQHWCX5ACH442GLJBA,50,244,49,49,False,12.273648493725252,0.08236688720530375,0.14019205817616945,0.23279618731546164,0.3804674190045507,0.6024955528398123
AECMBFXDJHHNGEBXIOVY5M3V2PKA,50,285,49,49,False,11.932656991251019,0.07957143177242704,0.1428773096832538,0.25192339636749445,0.40809169346994423,0.6277173440077997
AF5FVSH64VFIXMJXQUVRYMZSFHAQ,50,101,49,49,False,11.369405479423463,0.07404758085991948,0.13815671446339556,0.2428572592110683,0.3965908282701339,0.6153475375160656
AHUBQHB557N4AGFHFPKDJHOXJJGA,50,100,49,49,False,12.715093457396526,0.07778453563677684,0.13832712792077193,0.22304634066164372,0.3659611649634952,0.5859606971071022
AE6IAH3TSJOSBDOJGBJHUR67WEEQ,50,125,49,49,False,11.372324057848843,0.07252433995980817,0.12937354325849038,0.22000878821581696,0.368475794893272,0.5806528144278256
AHPDTZPJURZALWCECXNGOSQYBZXQ,50,238,49,49,False,13.627305355026445,0.0813639495785682,0.13854217055216328,0.23665148776899353,0.3958240497145354,0.6277278430455477
AGV7MJIYWVS7UVMOHQW5FYIEQC3A,50,320,49,49,False,12.195447361425904,0.09559275021230063,0.1583031477062517,0.27245890322202154,0.4267955863321967,0.6433072486219006
AHGGEBG6ULZ4CC4XTUVH7JCO2ZRQ,50,169,49,49,False,11.683781821708694,0.07430531780426884,0.14215076509691735,0.24614738948400128,0.4007758156494755,0.6244465086039286
AGLRNNNTTQ5OXYGDZPORZS7H7IEA,50,120,49,49,False,12.29493717842844,0.0640455709583193,0.11527834030215058,0.20388172109256728,0.34964996284235134,0.5672891962633594
AH5OZYVAPLO374DQNA67WQM3YXYQ,50,255,49,49,False,10.810451157320758,0.07246865650412848,0.1345408861885922,0.2347991408674391,0.39100723104996155,0.6116388283048027
