uid_local,n_sents,V_D3,V_P3,rank_Y
1689,115,31,8,32
1690,169,68,14,32
1691,112,47,22,32
1692,292,163,103,32
1693,118,18,6,32
1694,134,40,11,32
1695,136,43,15,32
1696,110,36,4,32
1697,142,42,15,32
1698,121,28,8,32
1699,111,23,9,32
1700,257,99,46,32
1701,112,38,12,32
1702,111,30,9,32
1703,156,33,10,32
1704,515,425,266,32
1705,534,488,304,32
1706,228,73,34,32
1707,104,19,6,32
1708,255,103,54,32
1709,189,100,33,32
1710,155,36,14,32
1711,101,35,8,32
1712,107,26,6,32
1713,108,42,16,32
1714,101,33,10,32
1715,104,31,5,32
1716,349,160,77,32
1717,226,81,36,32
1718,118,37,11,32
1719,151,51,18,32
1720,237,107,31,32
1721,124,25,9,32
1722,584,513,325,32
1723,149,42,17,32
1724,124,32,13,32
1725,114,53,18,32
1726,101,28,13,32
1727,140,60,19,32
1728,206,76,23,32
1729,163,61,36,32
1730,122,39,15,32
1731,147,50,29,32
1732,206,70,20,32
1733,279,126,63,32
1734,126,44,12,32
1735,108,37,11,32
1736,124,45,18,32
1737,137,33,15,32
1738,141,53,19,32
1739,131,35,12,32
1740,113,31,9,32
1741,128,35,14,32
1742,102,41,4,32
1743,124,33,5,32
1744,145,68,23,32
1745,169,93,47,32
1746,101,26,7,32
1747,232,65,31,32
1748,190,96,40,32
1749,465,403,252,32
1750,112,44,12,32
1751,124,25,8,32
1752,185,73,39,32
1753,109,27,9,32
1754,561,505,339,32
1755,146,43,13,32
1756,199,76,37,32
1757,128,37,12,32
1758,137,47,9,32
1759,114,33,6,32
1760,100,28,5,32
1761,155,73,37,32
1762,116,36,16,32
1763,103,23,7,32
1764,104,32,9,32
1765,114,26,8,32
1766,136,49,14,32
1767,605,534,380,32
1768,122,40,17,32
1769,112,30,12,32
1770,132,22,5,32
1771,111,36,9,32
1772,107,31,13,32
1773,157,37,12,32
1774,153,52,19,32
1775,105,30,12,32
1776,109,26,3,32
1777,142,39,16,32
1778,132,46,8,32
1779,287,123,64,32
1780,150,58,24,32
1781,101,27,7,32
1782,103,28,14,32
1783,109,30,8,32
1784,175,49,19,32
1785,103,17,6,32
1786,200,76,28,32
1787,143,44,16,32
1788,102,27,14,32
1789,114,19,3,32
1790,245,110,63,32
1791,272,121,51,32
1792,148,53,14,32
1793,246,99,25,32
1794,142,41,12,32
1795,124,54,23,32
1796,116,52,16,32
1797,228,61,20,32
1798,394,167,87,32
1799,106,40,11,32
1800,132,35,9,32
1801,135,59,24,32
1802,167,36,10,32
1803,124,46,21,32
