n_sents,z_dim,V,n_sents_total,n_users,encoder_params_K,best_val_acc,final_epoch,separation_med,separation_mean,kappa_med,kappa_mean,lambda_min_med,cond_med,mahalanobis_test_med,intra_spread_med,inter_user_dist_med,n_users_valid,n_users_skipped
10,8,3620,1000,100,930.4,0.019999999552965164,12,1.3386736074005738,1.3556269023247847,155.1287156696278,787.2532962596686,0.00027725151047497865,0.03810311665291456,163.41969464668625,0.7788892388343811,0.9892558693283736,100,0
10,16,3620,1000,100,933.3,0.013333333656191826,11,0.8501503452513302,0.8527755914489888,776.7452589030731,867.7851758415286,3.193562059994901e-07,0.00026105777477293383,50760.972513616885,0.20561791211366653,0.17354685771796438,100,0
10,32,3620,1000,100,939.0,0.02666666731238365,18,1.8125452744677304,1.836244561262672,1.0033402513710863,1.0034684078185157,4.790537216843955e-05,4.8054627687351705e-05,139560.6635705238,3.5700966119766235,6.375739808034416,100,0
10,64,3620,1000,100,950.4,0.019999999552965164,13,1.1018412828841546,1.1144373463554111,1.0047870366488083,1.0049076430059056,1.701785770696975e-05,1.7089964189646295e-05,377341.6355997445,3.0129514932632446,3.159880514096732,100,0
30,8,5394,3000,100,1384.6,0.03333333507180214,32,1.9621687743479677,1.970540446535042,3.448267391991865,3.8717881649792103,0.529999520772267,1.7744322638349823,9.485985469393045,4.712800025939941,9.318243407239818,100,0
30,16,5394,3000,100,1387.4,0.031111111864447594,13,1.0650005921626722,1.0793595477786284,12.382276800988851,14.08436186661561,0.01952026255377295,0.24487661974060165,38.27703131431039,2.598456859588623,2.7601412510631063,100,0
30,32,5394,3000,100,1393.2,0.03999999910593033,27,1.535357633728547,1.541024375611618,2549.3971166570172,2621.9259581305996,0.00012178672964633798,0.31979487773884463,9480.638028495992,5.868077039718628,9.062260873389967,100,0
30,64,5394,3000,100,1404.6,0.046666666865348816,30,1.530837526142967,1.523554820088029,1.0065069130725726,1.0066324467423866,6.204642366179757e-05,6.245023887518954e-05,97633.42395138546,5.960883378982544,8.969736176307755,100,0
50,8,6526,5000,100,1674.4,0.0559999980032444,36,1.6389781524884235,1.6379384025238823,2.4905034929506886,2.5406783751793873,0.7039681812871297,1.7584289798624737,8.72130666036433,4.391855001449585,6.986504802800188,100,0
50,16,6526,5000,100,1677.2,0.06133333221077919,29,1.3400459851068094,1.3457098271074102,5.372722867978449,5.712028465422316,0.22953373682353964,1.2414704253978406,22.32356843310184,5.288475036621094,7.038735676293422,100,0
50,32,6526,5000,100,1682.9,0.06133333221077919,18,1.1288822513476369,1.1473287360743714,52.31952979781995,57.223063976497386,0.004465247225234116,0.24124881837020762,102.0430795433831,4.8167195320129395,5.409101340505812,100,0
50,64,6526,5000,100,1694.4,0.0546666644513607,15,0.9925673555949489,1.010125615796856,860.8141424824444,862.8110947840557,3.7326807370868865e-05,0.032258022874248476,18443.51343965088,4.66286301612854,4.573312901487254,100,0
80,8,7490,8000,100,1921.2,0.04833333566784859,25,1.003860683347873,1.036476205890952,2.1646247585424776,2.211557305390612,0.5162708493207474,1.1224457456748074,8.48243569964723,3.179081082344055,3.203374699510709,100,0
80,16,7490,8000,100,1924.0,0.05666666850447655,31,1.0624540820222448,1.0770821569684181,13.004554667367112,13.039355399273573,0.08318772315170125,1.0390763801362795,17.85239777723389,4.713490009307861,4.834332602192657,100,0
80,32,7490,8000,100,1929.7,0.061666667461395264,35,1.0950423989204716,1.1108328325406691,445.6396491252869,462.9083333285063,0.0007625100416123791,0.34689191100756006,51.88406754596944,5.138870716094971,5.581594506899516,100,0
80,64,7490,8000,100,1941.2,0.0650000050663948,23,0.9647793089973852,1.0073255161103754,114.86608263114718,117.29548835479198,5.9068312152174156e-05,0.006707342810117088,248.73060351443803,4.849229574203491,4.692354880198083,100,0
100,8,8083,10000,100,2073.0,0.053999997675418854,30,0.8964161980172063,0.9475241748299801,2.7474839556624246,2.8165893252732133,0.4003327366115721,1.0734034081141077,8.805776132348406,3.196709394454956,2.8358454285848023,100,0
100,16,8083,10000,100,2075.8,0.06933332979679108,32,0.9353933490900157,0.961509563173814,196.23403867894046,198.0141221577692,0.0034599245894480638,0.6662271938918729,19.221447173230814,3.853055238723755,3.602158388104102,100,0
100,32,8083,10000,100,2081.5,0.06799999624490738,24,0.8872756627365729,0.9245620969511603,77.18119969649857,80.86620652555767,0.0003438269195502401,0.027954845711647566,44.84158369529817,3.899963855743408,3.463801206362368,100,0
100,64,8083,10000,100,2093.0,0.07466666400432587,21,0.8946276287807631,0.9280818956519594,37.360694486387715,37.67084431195058,4.1154634846390415e-05,0.0014940977654445248,161.3192368038205,3.868610143661499,3.451403194605702,100,0
