uid,x_12_NLL_test,x_12_avg_mahalanobis_score,x_12_cov_stability_frob,x_12_cov_stability_normalized,x_12_intra_spread,x_12_kappa_profile,x_12_lambda_min_profile,x_12_mu_p_norm,x_12_n_profile,x_12_n_test,x_16_NLL_test,x_16_avg_mahalanobis_score,x_16_cov_stability_frob,x_16_cov_stability_normalized,x_16_intra_spread,x_16_kappa_profile,x_16_lambda_min_profile,x_16_mu_p_norm,x_16_n_profile,x_16_n_test,x_4_NLL_test,x_4_avg_mahalanobis_score,x_4_cov_stability_frob,x_4_cov_stability_normalized,x_4_intra_spread,x_4_kappa_profile,x_4_lambda_min_profile,x_4_mu_p_norm,x_4_n_profile,x_4_n_test,x_8_NLL_test,x_8_avg_mahalanobis_score,x_8_cov_stability_frob,x_8_cov_stability_normalized,x_8_intra_spread,x_8_kappa_profile,x_8_lambda_min_profile,x_8_mu_p_norm,x_8_n_profile,x_8_n_test
AE23NZUELB4BYWLHKWJXAS73PTSQ,9.047310231711775,-12.8271323799037,2.978711493119658,0.7857941393282342,4.6122362050363135,4361.454670641749,0.005776095355278027,6.279953101766788,252,252,7.517595773274001,-17.345443553875935,3.611268560497802,0.7735026886198052,5.026952754860562,12581.234193611219,0.002383429360390457,6.294112155208829,252,252,6.9746256885752675,-3.9772308721682124,1.3650628135955658,0.7822292847284218,2.8662688606036646,11.593167647187325,0.8626432462647454,4.7279238384046245,252,252,9.300754394771227,-8.50532714113882,2.657863150268989,0.8148738678866014,4.493397191495886,5915.447387666724,0.004157406297752761,6.454312871464344,252,252
AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,8.693518301864428,-12.433833164556892,1.0320489903572225,0.9235570694050462,4.497707646362547,3990.685475143214,0.005978629299836168,6.441322603323142,599,588,6.9128981276548505,-16.059297302865655,1.9134453496438106,0.8894612031504185,5.106960145132267,14649.307390644033,0.002121889711300011,6.725792728798642,599,588,7.031064157876253,-4.038190516857913,0.6416975959617045,0.907237217667699,2.953364619631873,12.474900527631538,0.8632357339996825,4.802506600567574,599,588,9.290585848721483,-8.324475244347981,1.1454050582318984,0.9138158746318842,4.259292915296942,4589.2552290869,0.004824764591388241,6.6788759784195,599,588
AE2B5CUQIA5ULZCR34UOPOXROEPA,8.705916087679809,-11.900883325841066,1.4428717319535138,0.895331107838341,4.616010299080013,3981.2457327431925,0.0062910442287847455,6.588216816488714,696,704,6.874641105851726,-16.604695206322116,1.600774468616841,0.8993894937062629,5.002209701938402,14714.910940307813,0.0020160807474494586,6.410200624058419,696,704,7.0156559108993575,-4.02799595208863,0.5934757319042991,0.9039005006482291,2.876598970128118,10.755814889258744,0.932771579442374,4.769492069006056,696,704,9.254444793590714,-8.01852042195378,1.7895025081605502,0.8620714409834603,4.392783262253382,5239.057413385038,0.0043910106923193346,6.507952250863395,696,704
AE2GO5B2SWCBHIYMOE45YWL7RQHA,10.695863931835927,-12.01575182401356,13.610690199959489,0.7258888487163262,7.329261799422189,7739.833574417167,0.008776051558436165,9.214704967132855,273,281,10.056497783380934,-16.16710913682961,17.81734872429321,0.704150872628716,8.424427676077066,29242.43669881179,0.00295827428947746,10.416683074103595,273,281,7.78346766891648,-3.78553221937605,5.017826270343021,0.7447403020133949,4.57871830937196,32.045176617791334,0.8180445178211996,6.659103037435311,273,281,10.764375903660314,-8.002359547163955,15.05199596416693,0.7267014324011971,7.595156055274818,14076.461972260458,0.005149487335390525,9.883581500387978,273,281
AE2RWATLMMUSX7TMKKCP2DYHDCWQ,9.834738046515506,-13.126104777464798,2.846090744018432,0.8590497756082068,5.011877900093709,4680.402908183523,0.006710236612693296,5.98323089646837,221,230,8.34196728552789,-17.230783735851585,5.108529083320368,0.7765756911467411,5.595683490729246,18177.030903141436,0.0021140585136860037,6.384976095292192,221,230,7.324653905924604,-4.187617253609072,1.1555207522509165,0.8647525611611756,3.210851689090239,13.690897854555418,0.9304402768526981,4.558486543350816,221,230,9.770097500639721,-8.582309886513936,3.291202856719028,0.8510985670400721,5.049767811172426,6963.618112174239,0.004662072006611509,6.460984272414799,221,230
AE2SW5HC66P6DJEXCZJN7IID6ZIA,8.351148016116195,-12.09313582090827,3.195329821378782,0.744551925832382,4.43138430295141,3946.178689395931,0.005785097416134871,5.999585125100393,128,134,6.476756496249842,-16.323724913138943,4.3606813815602585,0.6769565095869354,4.805018993306019,13645.32976696785,0.0019273350572702904,5.922024737542527,128,134,6.911382011479205,-4.28711043846519,1.94788959003932,0.616075835568081,2.6852219108986226,9.941846526198024,0.8567043485180821,4.371384093119057,128,134,8.806616441996168,-8.142062085942184,3.8142915414780645,0.6752470160230191,4.140275219033104,4458.5703789807585,0.004616800166373166,5.83470546535189,128,134
AE2YCIHHZH57ABZB7EWDTCF3WPKA,8.241296258706436,-12.556188624138931,4.907856129271623,0.7220217793487552,4.777180033296109,4376.262612754582,0.006331571002268341,6.355494678763491,277,316,6.907028830192274,-18.49794747276956,4.527401794841381,0.7689498589188588,5.161164879866449,17296.552968057586,0.0018792791598370717,6.531820878161478,277,316,6.803662924397353,-3.867368170552574,1.209638084109383,0.8415757273516415,3.028502514403676,21.496174340400184,0.5235503765945261,4.748754855427584,277,316,8.95794245677337,-8.406341908524023,4.217730064339062,0.767529720449936,4.671561353293728,7597.332687893834,0.0035438781635053628,6.625947062621305,277,316
AE34VVFABKBA5ZFYOCL3BRUN7QVQ,7.9636163510092475,-12.011922193545947,5.231322528143897,0.5167736408683861,4.120591873166606,4268.896615546707,0.004916890889472308,6.163008979271117,67,62,6.34082641544171,-17.914606104232835,6.407841529008256,0.48268154136166896,4.511533696588462,23992.59938993903,0.0010387499465973704,6.019483797198779,67,62,6.2857044664984025,-3.0817152053377916,1.972585740392144,0.5614298846200524,2.5165013873732702,11.17338937000989,0.7175975400282841,4.747270996988011,67,62,8.126314481059742,-7.5076539394507815,5.528020693260952,0.45814921767009875,3.821961663870361,4370.228306847129,0.00426440071975668,6.180121694160491,67,62
AE35OPCE4E5LOQAODQT5QTD5SFIQ,10.144542899140054,-12.795740119563328,3.0605051878923124,0.8642778897695352,5.499631108312969,6040.188067977969,0.006170853653129368,6.482077453003293,382,368,8.597776195642142,-16.43327024539924,4.238165994342987,0.843926376682367,6.088525483664065,19951.747480700975,0.0023334302136870403,6.645915346728092,382,368,7.427171941014327,-3.623553891753324,1.4474235714225185,0.8669708235164731,3.5714688307289886,15.426066111583273,1.0342242816385256,4.822054993451542,382,368,10.040260182591654,-8.321105916997249,4.052163514318343,0.8282951370289082,5.401565057173634,6987.436011604,0.0052703926812592275,6.64302495168033,382,368
AE3LFNXIKCQ2EU7IKXHEEZB4VHYQ,8.744229155005796,-12.41434657417179,2.848928514596524,0.8232639323207696,4.64057094618424,5867.50305992375,0.004453540482448308,5.926090306466637,293,276,7.396791093295227,-17.576819261474952,2.8282026509776252,0.840024394255074,5.056351237687664,16402.47640230459,0.0018896771406024587,6.033708539862773,293,276,7.0611512467895565,-4.3165841803545,1.104397810211487,0.8392895904253141,2.9193270526478683,12.352513411633382,0.8465983731021169,4.412728772881598,293,276,9.448648755991869,-8.686794925658393,2.644825462435754,0.844833038048511,4.565432219566511,5867.579211871575,0.004468097093847521,6.055265593310646,293,276
