arm,z_dim,explained_var_ratio_sum,separation_med,separation_mean,kappa_med,kappa_mean,lambda_min_med,cond_med,intra_spread_med,inter_user_dist_med,retrieval_acc,n_users_valid
pca,8,0.1800006479024887,0.3096400260776394,0.3256851101805673,2.699840600846934,2.813825024761819,0.06349776830813804,0.171022393359298,1.2792632579803467,0.39772672677511445,0.006,1000
encoder_ce,8,,0.5105186547845939,0.5465449689499544,3.518536881934471,3.6727099035266972,0.1501628894708251,0.526971427269769,2.3665002584457397,1.198895626784385,0.007,1000
pca,16,0.26273098587989807,0.2950552124423553,0.30740365881880793,4.874761661395285,5.255566619636537,0.02332796459961422,0.11219658871263175,1.563449203968048,0.46427827797554155,0.011,1000
encoder_ce,16,,0.712540152018512,0.7876842465600569,9.423762508872747,10.004097880288626,0.004942578790768853,0.04641759899768103,3.450138211250305,2.4679667858986765,0.005,1000
