n_sents,z_dim,V,n_sents_total,n_users,encoder_params_K,best_val_acc,final_epoch,separation_med,separation_mean,kappa_med,kappa_mean,lambda_min_med,cond_med,mahalanobis_test_med,intra_spread_med,inter_user_dist_med,n_users_valid,n_users_skipped
10,8,8040,10000,1000,2070.1,0.0033333334140479565,22,1.333341142332392,1.3544538465352436,142.39715758072307,660.2381386751082,0.006348100169835002,0.969065415093211,163.75962942510785,3.8509654998779297,5.081848101632612,1000,0
10,16,8040,10000,1000,2080.1,0.004666666500270367,18,1.1118698907023241,1.1194912177998568,717.8276628150685,802.8524088696619,9.634799034414585e-05,0.07021504679693918,50729.08708266439,3.5519989728927612,3.809122568792528,1000,0
10,32,8040,10000,1000,2100.2,0.004666666500270367,22,1.125138792351469,1.1287714403201614,1.0030772719671264,1.0031983866587484,0.00010277695296358518,0.00010306235954190112,158787.66198785458,5.209083318710327,5.620749111886736,1000,0
10,64,8040,10000,1000,2140.5,0.004666666500270367,18,0.9700768751766085,0.9778111470378453,1.0047466007288535,1.0049993699631867,3.1113939617471095e-05,3.1245424054966085e-05,384713.7018098473,4.050518751144409,3.768460211453137,1000,0
30,8,11339,30000,1000,2914.6,0.004666666500270367,37,0.812862310937952,0.8444899346819097,4.636463483144059,4.978590474722524,0.5195013728934862,2.4408310425389717,9.838868069547793,5.08973240852356,4.048160135179192,1000,0
30,16,11339,30000,1000,2924.7,0.005777777638286352,32,0.8290202941601451,0.8662914166977342,59.20206353625924,66.7562723747052,0.00794739508122859,0.47826508405227275,35.37210959775964,5.671807289123535,4.6013288473462435,1000,0
30,32,11339,30000,1000,2944.8,0.005111111328005791,14,0.5484594519463896,0.5575006835949649,3129.1414025426393,3111.8864252208846,2.796689679658673e-05,0.08694724609141538,17570.571909175982,2.790846347808838,1.4942384059722718,1000,0
30,64,11339,30000,1000,2985.0,0.005333333276212215,12,0.4514816892935923,0.4616199631099081,1.0052799770914014,1.0054447451719113,1.1535928593084434e-05,1.1596738980430539e-05,197111.97430506302,2.583151936531067,1.1456476291856013,1000,0
50,8,13026,50000,1000,3346.5,0.0033333334140479565,22,0.693846713979813,0.791906990698737,5.867655433251388,6.1858437964058455,0.04234953007440627,0.24492984022371453,8.081529685740772,3.151128888130188,2.180071023140882,1000,0
50,16,13026,50000,1000,3356.5,0.003200000151991844,13,0.43135438612405896,0.44397245589463935,5.350986368157047,5.616587417594328,0.029612710339454753,0.15888347170857925,22.322561666934455,1.8161919713020325,0.7793238468326487,1000,0
50,32,13026,50000,1000,3376.6,0.00426666671410203,13,0.4446649238343718,0.4675744113654844,27.120499663931785,44.40936411039304,0.0025880554414233663,0.07246647023484912,99.38168292715551,2.3073810338974,1.0196139907932378,1000,0
50,64,13026,50000,1000,3416.9,0.005200000014156103,12,0.4265353768020111,0.45387917428335944,1530.6502389016416,1511.4672876026373,1.1853533258652947e-05,0.018201204829385427,44516.247859282324,2.607919454574585,1.111937787201073,1000,0
80,8,14639,80000,1000,3759.4,0.0038333332631736994,22,0.686374731319412,0.75876947413148,5.042833316421257,5.101201930813115,0.00034641161359486863,0.0017974724062517636,3.9021356009319135,3.8888180255889893,2.6861344590425134,1000,0
80,16,14639,80000,1000,3769.5,0.004083333071321249,19,0.6766109013594608,0.7400052902602144,2.1568226716461414,2.174721211230604,0.0002366866025589376,0.0005130415789518049,9.83055055757842,4.539268493652344,3.0866325872020797,1000,0
80,32,14639,80000,1000,3789.6,0.004083333071321249,17,0.6764979332398914,0.7405327897970252,2.1059145014796137,2.122360695297601,0.00012350468903009522,0.00026296926690212003,21.237686932914926,5.078664779663086,3.4923107303731196,1000,0
80,64,14639,80000,1000,3829.8,0.004749999847263098,18,0.6514014984778003,0.7023647299920268,1.018488047802075,1.0187299881910037,5.652395308033282e-05,5.7586888835956836e-05,7.539702761900003,5.335693359375,3.4673883627663864,1000,0
100,8,15407,100000,1000,3956.0,0.0033333334140479565,15,0.5503412193951309,0.6285702715524946,3.8966195505487145,4.0299390404685385,0.029875034635949572,0.11754114371581365,6.440916553998828,1.8378990292549133,1.0250133080286785,1000,0
100,16,15407,100000,1000,3966.1,0.004600000102072954,14,0.6573895304959902,0.742616210345096,5.55853092096358,5.7632194080353605,0.003274873954999972,0.018206819813100406,16.01798473985346,3.817797064781189,2.5257980147296486,1000,0
100,32,15407,100000,1000,3986.2,0.0041333334520459175,16,0.6546329446627835,0.7230256845008818,1.5723128917454108,1.5855931701777486,0.00011688464470378446,0.00018391173966838024,14.79045225421833,5.039213180541992,3.31201571492372,1000,0
100,64,15407,100000,1000,4026.4,0.004800000227987766,11,0.3941855841384846,0.4321811052115505,31.589156124703216,59.83830062913583,0.0006447187965423315,0.020117341457965204,179.556924171274,2.5546926259994507,1.0076264545276716,1000,0
