uid,V_u,x_max,x_4_lam_min_med,x_4_lam_min_all_pos_3seeds,x_8_lam_min_med,x_8_lam_min_all_pos_3seeds,x_12_lam_min_med,x_12_lam_min_all_pos_3seeds,x_16_lam_min_med,x_16_lam_min_all_pos_3seeds,x_20_lam_min_med,x_20_lam_min_all_pos_3seeds,x_24_lam_min_med,x_24_lam_min_all_pos_3seeds,x_28_lam_min_med,x_28_lam_min_all_pos_3seeds,x_32_lam_min_med,x_32_lam_min_all_pos_3seeds,x_40_lam_min_med,x_40_lam_min_all_pos_3seeds,x_48_lam_min_med,x_48_lam_min_all_pos_3seeds,x_64_lam_min_med,x_64_lam_min_all_pos_3seeds
AEOK4TQIKGO23SJKZ6PW4FETNNDA_2,36,32,0.082628139187682,True,0.02340401487148277,True,0.010553350531452236,True,0.004182226465111514,True,0.0019876671004659366,True,0.0008312358922198368,True,0.0004754096069803435,True,8.206189968196184e-05,True,-7.407653148199349e-18,False,-1.807284496458967e-17,False,-2.2185720627877595e-17,False
AFIBNLML7BE3GZIGU7SSIAGEECLA,26,24,0.07376479029905553,True,0.02164738831447009,True,0.005041567756027825,True,0.0012316527887780496,True,0.0005331369279879145,True,7.858837812384173e-05,True,-9.225008688225592e-18,False,-1.8785243643273297e-17,False,-1.6582839564529644e-17,False,-1.6955791492877157e-17,False,-2.4020992061267994e-17,False
AEVIVDBW7OKSXHS2P7KPTBSPPU7Q,34,32,0.07140796171398552,True,0.012186385076843808,True,0.007108586663637244,True,0.0035664402352730204,True,0.0007746499695574031,True,0.0007409208170761628,True,0.0001882836462053329,True,2.06980052657733e-05,True,-1.3706332035863153e-17,False,-1.3947613093580177e-17,False,-2.3017463696920406e-17,False
AFUUJZ32PGZB4TDB6D7LLE5KHSDA,30,28,0.0946274283093071,True,0.0203529258371573,True,0.009296787902939837,True,0.0023462557469423754,True,0.0010392365439321207,True,0.00030372565684500663,True,4.9128123702095043e-05,True,-1.0528217659633029e-17,False,-1.4940252139186584e-17,False,-2.188454683041395e-17,False,-1.8282717477018333e-17,False
AGLS5B4FURLQYA2KPZ5GBEESTIVQ,20,16,0.07139078726919876,True,0.01463478249713822,True,0.005152757525153837,True,0.00018747674627569988,True,8.723388837142709e-18,False,-1.5066462642840908e-17,False,-1.7275152380476416e-17,False,-1.6879213349286433e-17,False,-2.3368811377070198e-17,False,-2.229479609143575e-17,False,-2.085676800734211e-17,False
AE7VDEI2MEZDY7YGDKQSSZ4CU4LA,15,12,0.06139215571043165,True,0.008921743534670167,True,0.0005605940715109736,True,-2.821139446721522e-18,False,-1.9044715468977527e-17,False,-1.8778981885008086e-17,False,-3.31608813155736e-17,False,-1.5773614842189046e-17,False,-3.018990843399743e-17,False,-2.2662540694822294e-17,False,-1.7110932390109526e-17,False
AFW6DCF2GM6LCHEC6EGXKLBSBDTQ,21,20,0.09989953093288086,True,0.019333812826654296,True,0.003692178729496231,True,0.0014856930459333324,True,7.785684169608724e-06,True,-8.708033588406663e-18,False,-1.3866808255261407e-17,False,-1.5129875234757982e-17,False,-1.6074720975682676e-17,False,-1.8812882095114243e-17,False,-2.5022847169257268e-17,False
AF4FBX7TMLQVLJB45TOQ2EJTXVYA,19,16,0.0747877388092338,True,0.009794517943741617,True,0.0016858908607473267,True,0.00020295855361973409,True,-7.227163797416674e-18,False,-2.1130131484524645e-17,False,-1.3870580589122413e-17,False,-2.2546297174971005e-17,False,-2.7244208729758356e-17,False,-2.2882329689782065e-17,False,-2.144106243934872e-17,False
AEUEB5QRUCYGSAWGOIZFC7G2RN5Q,19,16,0.05339534759075526,True,0.014187823626892925,True,0.002658376769866895,True,0.00042382217394497146,True,-6.947374104234966e-18,False,-1.558821250921526e-17,False,-1.99460235973105e-17,False,-1.8905328973769103e-17,False,-1.829919460062845e-17,False,-2.4374247329095117e-17,False,-2.274485079898047e-17,False
AE2662WNZYL2ZMFHDKGGCCHMGMGQ,24,20,0.11255778369426946,True,0.015070064103011559,True,0.004839039288830329,True,0.001445478505730062,True,0.00019788079196460308,True,-1.2952292422093317e-17,False,-1.921975719013617e-17,False,-1.6776412051850656e-17,False,-1.8416939663579083e-17,False,-2.088868770357661e-17,False,-1.9678568897663944e-17,False
AG375WAXLZ7PIOQKIQ6KQB4J3JVQ,110,64,0.10154222704486661,True,0.025858864074312437,True,0.012903466709851343,True,0.0072007646604999075,True,0.0046958551630668505,True,0.0035381280838554146,True,0.002090210582056656,True,0.0014439614543506735,True,0.0009324466756813133,True,0.0005680241481096842,True,0.00016678860461285833,True
AEFE5XFAOEWPEBXAR3UF5TLBCB2A,22,20,0.0722817786767206,True,0.013410466401381837,True,0.0044265524254246905,True,0.0008011198667749038,True,2.0705819864947477e-05,True,-7.159285030367456e-18,False,-1.603633840427696e-17,False,-1.8146108032408974e-17,False,-1.8924088908895055e-17,False,-1.9224646811180983e-17,False,-2.535944813126244e-17,False
AF7X7NCBSFLSVVLZZELHBCBSYPUQ,19,16,0.05981228092648075,True,0.010525815167039662,True,0.0032232857712016123,True,0.0003238971846443529,True,-1.0197092973947818e-17,False,-1.7355636325329946e-17,False,-2.6119516506364997e-17,False,-1.602245166147598e-17,False,-1.8798275331774837e-17,False,-1.816630629273251e-17,False,-2.002759538447582e-17,False
AEXB6YHCSWJQC6XGL5FXCLPWBRJA,20,16,0.07821106079427009,True,0.013460190338572377,True,0.004313213040982777,True,0.0005542190110412472,True,2.5782967471438686e-18,False,-1.2414410318945541e-17,False,-2.238602949374993e-17,False,-2.407559701034804e-17,False,-2.186987538636262e-17,False,-1.7391338604108228e-17,False,-1.6939609350298852e-17,False
AETOEA7VUU2QV3ZNCRQHK33DDXZQ,22,20,0.06820245646440805,True,0.022102755279020746,True,0.0055838113093616025,True,0.0010923091749809265,True,1.1244169799444693e-05,True,-5.347215160147164e-18,False,-1.315082457230847e-17,False,-1.9829996756483815e-17,False,-1.894027642644322e-17,False,-1.546037382264913e-17,False,-1.7891413155591987e-17,False
AEO2VNOT5LNZJ5ROFECRFQWPD6JA,21,20,0.06308292105344979,True,0.015624773237685649,True,0.002720827874273803,True,0.00040523945488022485,True,0.0001726151242276443,True,-9.963209619585097e-18,False,-1.5835904125420353e-17,False,-1.9742126943166608e-17,False,-2.2132755014511835e-17,False,-1.8933541301400948e-17,False,-2.3905273249103623e-17,False
AEBUDJVUNDEIPQDCVSN76SAKUL2A,24,20,0.11536949050384958,True,0.028154721080614977,True,0.00681352345736393,True,0.0018249742581668469,True,6.882454492768235e-05,True,-6.285605480293007e-18,False,-1.6796374595933605e-17,False,-1.4908027230669226e-17,False,-2.221932062878258e-17,False,-2.4518252655705084e-17,False,-2.021003732115463e-17,False
AHJXTD6N2Z2QFBWRXPXSTESDU7AQ,22,20,0.08311537401748337,True,0.012037047175901917,True,0.0050194638079019685,True,0.000690067202727595,True,2.3802369757538288e-05,True,-4.73207471673194e-18,False,-1.6826577930129423e-17,False,-1.4437144996165775e-17,False,-1.7700303870532637e-17,False,-2.0193596444600794e-17,False,-1.843954728954044e-17,False
AFSV7WVU7TBFUFBQ2I4XAJHJK5DQ,16,12,0.05803644533833453,True,0.005736544398151418,True,0.0010526455355932929,True,-2.7054232335306497e-18,False,-1.0842639727762552e-17,False,-2.0301505942553993e-17,False,-1.8561348246984863e-17,False,-2.433915975677489e-17,False,-1.950313850099813e-17,False,-1.964774661014453e-17,False,-2.3045460499192627e-17,False
AFGXHIFJHYONISJ4EZAV5G2QIZKQ,22,20,0.06678579222386655,True,0.01471728054132514,True,0.0044446177211507,True,0.0005838375479837481,True,7.570552411849046e-05,True,-9.811836208434087e-18,False,-1.9523777899477916e-17,False,-1.8760334592883342e-17,False,-2.0507290834928278e-17,False,-2.3233211579220244e-17,False,-2.6338015085490613e-17,False
AHEK757U7544PNGSDFCIKFN7NZDQ,42,40,0.09668776493664767,True,0.025812984422217463,True,0.007891373577238767,True,0.004859927934379264,True,0.00208068296777274,True,0.0015009763568856137,True,0.0006759705616011394,True,0.0002311573116178325,True,5.5312394637106126e-06,True,-8.295198741174118e-18,False,-1.4572548554220752e-17,False
AFRZWY5NEGURSNCWQIR3CGO7XTDA,25,24,0.09003118910590198,True,0.014274135367738404,True,0.005419852635987581,True,0.002596799185018902,True,0.00037513114715618373,True,2.358027258457601e-05,True,-6.974080883605354e-18,False,-1.3525135971977198e-17,False,-1.4912901478611742e-17,False,-2.0842150752995453e-17,False,-2.0275079379864293e-17,False
AFF3P6FC7Q7F4TKGBC6MVTEYBAHA,18,16,0.0949925463036727,True,0.013085576535432134,True,0.003609394614089595,True,0.00014278338277230304,True,-9.117560566663604e-18,False,-2.6203732691378567e-17,False,-1.731390547281994e-17,False,-1.8030194564633767e-17,False,-3.139404099669632e-17,False,-2.8473694127955386e-17,False,-1.9384468055913278e-17,False
AGGNEZJKG35QXGBIZADSSC2QNPGA,24,20,0.08629404676290464,True,0.01466848844134166,True,0.004038328133695773,True,0.001556172673262159,True,0.00037442957831650885,True,-9.14417309763112e-19,False,-8.922150328606668e-18,False,-2.386034285642975e-17,False,-1.8221066476531602e-17,False,-2.4654897079513302e-17,False,-2.0069250139929415e-17,False
AFZZTCIDEOXXQLDMOCBPTLGTGLUA,22,20,0.0878219669838408,True,0.012599129279859038,True,0.003040374320879856,True,0.0009195893309479272,True,5.5164115531616035e-05,True,-1.2339255667092908e-17,False,-1.654950463241181e-17,False,-2.1776926613137017e-17,False,-2.795430449597867e-17,False,-2.4289061325689274e-17,False,-2.519043791657879e-17,False
AFE233WGE7SQATPKYXBSYCV4WGEQ,25,24,0.07643415516883563,True,0.01761672140815056,True,0.004283931288693975,True,0.0017630269677366428,True,0.00013014152340469913,True,9.289576540744068e-06,True,-1.2982567902119722e-17,False,-2.6465499214826395e-17,False,-2.0282548547023424e-17,False,-1.9111656199455523e-17,False,-1.923513052492447e-17,False
AE2SW5HC66P6DJEXCZJN7IID6ZIA,35,32,0.09423771346000194,True,0.014732521843500311,True,0.007985556271379644,True,0.004146385486512607,True,0.001290494107096966,True,0.000720274693027193,True,0.0002530680752300091,True,5.284583478717011e-05,True,-1.2846149172547653e-17,False,-1.6650999879213595e-17,False,-2.009887507111622e-17,False
AFYOKJCKOTSAX37BQCPTCCULEEGQ,20,16,0.07068517201346133,True,0.017344723174749277,True,0.0018092097921568278,True,0.00028476815648771154,True,1.8794504234319647e-18,False,-1.978273349963154e-17,False,-1.6241466229997964e-17,False,-2.2056408171549768e-17,False,-1.9264636983052217e-17,False,-2.748986603685593e-17,False,-1.7655841937828e-17,False
AFVIIK54G27OXK67I6Y3DVESCMSA,17,16,0.0537805182762609,True,0.01385254709205241,True,0.0002741563310241056,True,5.1644032213516606e-05,True,-2.091113898396333e-17,False,-1.7121554858800593e-17,False,-1.9477042327588712e-17,False,-2.883070224615124e-17,False,-2.36007294097556e-17,False,-2.7571946120891e-17,False,-2.5461278323930052e-17,False
AFRRE6V4BFGXPS2RFRZNAMSUH2QQ,19,16,0.07201346929572758,True,0.009987036324012474,True,0.002092456563014873,True,8.629991718625653e-05,True,-3.154437860867008e-18,False,-1.9946610932365214e-17,False,-2.1268586928340427e-17,False,-2.083319224143547e-17,False,-2.480153621528117e-17,False,-2.5079210940488738e-17,False,-3.2844116980408684e-17,False
AGUOEDUXBQSS2IZBV7JKYBIOK5RQ,27,24,0.09117564401912506,True,0.012920836839274426,True,0.009375598424828872,True,0.0017737053703197338,True,0.0005430180377703114,True,0.00012577492666007004,True,1.931131185127482e-18,True,-1.753538309067434e-17,False,-1.8569508603235844e-17,False,-1.359886699121193e-17,False,-1.9829853573626388e-17,False
AE2YCIHHZH57ABZB7EWDTCF3WPKA,34,32,0.0904802443175877,True,0.01927950840633445,True,0.007426997781850235,True,0.0033052322893257916,True,0.001011423761957814,True,0.0004338057795244424,True,0.00013575695628122487,True,1.771765236083746e-05,True,-1.0670561169776678e-17,False,-1.4987951353469394e-17,False,-2.1942592713478457e-17,False
AG52X72BAAVOKEU3MWXPG5CQJOAA,25,24,0.10577585475200607,True,0.022860876663915234,True,0.006142236417652513,True,0.0030942213579899553,True,0.0003185730525806496,True,1.4733344832156127e-05,True,-1.2142142291281223e-17,False,-1.3162407507665283e-17,False,-1.2728278006016199e-17,False,-1.7037219339371892e-17,False,-1.4590595693885165e-17,False
