uid,user_idx,n_profile,n_test,intra_spread,inter_user_dist,separation_ratio,mu_p_norm,mahalanobis_test,lambda_min_profile,trace_profile,cond_med,det_ratio,kappa_profile
AETFLSAWXIVQSX4A7T52JGEH5Q2Q,0,19,1,2.3977274894714355,4.908764359926937,2.047256988745224,3.860541343688965,105.32925876303909,0.10988401200314628,6.480970214414597,0.5787490261199417,0.9188475018905288,5.266908402501453
AFR6N2JHAAWJLI5EJFQDENFMVVAQ,1,19,1,3.0447630882263184,4.508561750855109,1.4807594614796467,3.5402872562408447,5.257272609233445,0.0897271061412428,10.47262015247345,0.5940426863313096,1.0632534369508722,6.620548816053477
AHWLCORU3EXTEQERFU5MOBF63CTA,2,19,1,2.2759735584259033,4.480718281533983,1.9687040145725214,3.1767382621765137,20.769360527609752,0.10627103007010893,6.21560979013443,0.48441725858802087,0.970450815557494,4.558319028887195
AFLSHORZNVM6GIFFISRTSRNYTOMA,3,19,1,2.9918642044067383,4.129655178147133,1.3802949920202041,2.6044399738311768,24.34275862897936,0.07696045757317836,11.122009978866576,0.9236873798910079,0.8086361031258814,12.002103534957723
AGVBR47VU2BE4EVWFAXOO26SOWSA,4,19,1,2.9109363555908203,5.100113574904625,1.7520525878586157,3.8767902851104736,4.854281236651985,0.08459423625090803,9.805812345695497,0.4996473004142935,1.1016370616194693,5.906398858337471
AG2VTFCAKUE6KZH72G523COQVUOA,5,19,1,2.7326979637145996,3.912754600698298,1.431828417429502,2.332765817642212,18.746463292867507,0.11030051284971232,8.84233048467636,0.6105575045599179,0.952890655847831,5.535400414609317
AFFDJZ6EHOAFLE7WS4GZMLMIWMRA,6,19,1,2.869171619415283,5.2024753117802165,1.8132325290602325,4.559223175048828,9.491430986926224,0.08385612309977883,9.547428925418853,0.6738645753132781,0.9182169865152321,8.03596148263925
AEC2DODDROD5WJYCPVYLTZSQY5HA,7,19,1,2.5697290897369385,3.5026027469924004,1.3630241261544653,2.023441791534424,6.741920349556093,0.10379124761412573,8.137330759239196,0.6790173891003173,0.8014733347524362,6.542144975699326
AE7QX327FYG2YS4OL27GBQABRRDQ,8,19,1,2.732057571411133,4.623201772420093,1.6922051060703551,3.9011359214782715,11.578746996803675,0.08221760942097543,8.956082302951813,0.6213995519172699,0.976123598261522,7.557986133305621
AHSCNOTMQI2WQ4YUTXSOBJ3OFG7Q,9,19,1,3.9287712574005127,4.1140658229288425,1.0471634904117402,2.691884756088257,20.720513775776936,0.12027003599878468,18.5769733710289,0.795736426176326,1.0811139416653284,6.61624834122746
AGTPYYIF2KZYACAGPMFRIBTACMSQ,10,19,1,2.2567520141601562,3.643564273010601,1.6145169031195228,1.9111485481262207,18.674063835968393,0.07313195602613484,6.052722738313674,0.4474233897809081,1.0487976598224216,6.1180284802038445
AESXPFPYKPBWD4SLCAZRXX22GEZA,11,19,1,3.2841408252716064,4.808909045325385,1.4642822281921106,3.543551445007324,8.662792798281204,0.1691939816780027,12.678680608844758,0.5844462747088786,1.1124917504432863,3.454297067263024
AGKYAPJAIV6AKVK7MUVYNQB2RRNA,12,19,1,2.997692584991455,3.7293574123671562,1.2440760040035215,2.3211636543273926,5.920704008399298,0.12150833956716484,10.784376613664627,0.5608662287115456,1.2325283110715506,4.615866126633405
AHEE76NDKZZRDPTCUKAVHI4OF6ZA,13,19,1,2.774911642074585,4.079723991528906,1.4702176205073016,2.844688892364502,4.9564646594718305,0.15210240119552382,8.969516566181184,0.6242791241819814,1.0591641395076496,4.104334443606096
AELZDJ42ZTKWK3733KORAERLI2CQ,14,19,1,2.8612918853759766,3.6517031614226525,1.2762427979076365,2.1422805786132812,5.113981453271796,0.17592501531937602,10.404194927024843,0.6984799498939989,1.0754870758592023,3.9703276343388203
AHAVVDFUPNWTGLACNX7FXDKNSAKQ,15,19,1,3.4836947917938232,4.736299838682617,1.359562223946663,3.5717689990997314,6.656280298704235,0.25806596385490366,15.010763011169434,0.8039929138248711,1.1459060236432541,3.115455063562401
AHE2JHVJEQAFTJVE5RWEYBYJQUBQ,16,19,1,2.745069742202759,4.296404561611137,1.5651349383070765,3.1679556369781494,20.866007938958745,0.12208116956365399,8.506943336486817,0.49035202443276577,1.201224963354753,4.016606542887786
AGKEOE2JIWVWT6UZEVBCKLACJSYA,17,19,1,2.103214740753174,3.5321243363197405,1.6793931061242304,2.101959705352783,7.241542059252312,0.09378121707967625,5.606704744625091,0.4565401597534313,0.9695708851309263,4.868140699918152
AHXEK642UJNWCB3LIGZZAKTONXQQ,18,19,1,2.7120635509490967,4.764277093338244,1.756698176070014,4.136467933654785,7.871138319409071,0.14202288811959912,9.072734355926514,0.6227139940455602,1.052123555864844,4.384603089617256
AGNG4NHSBORIRTXIYJTSXQ4WE75A,19,19,1,2.80784010887146,4.100946551621562,1.4605342158424517,2.6723012924194336,11.546824083089312,0.2076385816297178,9.730035254907609,0.42515650859021603,1.416352356291652,2.047579526180728
AGLNOSRFRMEFOJA5DIGMB2PTCOUQ,20,19,1,2.253038167953491,3.815659443537394,1.6935618303365376,2.849337339401245,4.66801646073184,0.08806634870407573,6.009040802097321,0.4207789667029588,1.0748878683622813,4.777976751561235
AEJY24XTMIMXD5G7KDKFUTUJSGYQ,21,19,1,2.5667362213134766,3.5499585024034133,1.3830632352968442,1.9221028089523315,8.607932506005973,0.12164654747541918,8.198636362218856,0.482191853337699,1.237303512461154,3.9638761916784717
AH7RZZ47LJVL4ASHAYKVR5DZCTGQ,22,19,1,2.548602342605591,3.950430109043314,1.5500378552601304,2.7441487312316895,4.439214781034876,0.06286677737180914,7.622529757213592,0.554987290619749,0.991850290719804,8.82799013757969
AF53ZKFWQ3BC2EXJ6FP5WIIN2MCA,23,19,1,2.7105565071105957,4.075488560127489,1.5035615562473135,2.9208381175994873,2.396249475844412,0.13785524510396746,8.797381912565232,0.6603756537408796,0.9599304751760807,4.790355660699297
AEOSCZNS3P5OOCDISARS5TVRFVYA,24,19,1,2.4341094493865967,3.9108303098967583,1.6066780854420084,2.6627562046051025,10.274202238018237,0.04595899456296569,7.101803610229492,0.6011348913266592,0.7538170335118954,13.079809448465632
