user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AEP4KJDGBH6XPJKFEHPYSAPUNDBQ,100,100.3110,321.4069,3.2041
AHZTEZKKMQTPNZW3AYURV4YDN42Q,100,21.2395,332.4400,15.6520
AFJYUDW2LLMAVP2L5F7FQPYGWP6Q,100,31.1834,320.9298,10.2917
AFVAUF5XDUB2H6MA2ND3VFEO5E2Q,100,39.4909,356.6966,9.0324
AHZ4TADPCXAAIKTFERGG5YB4BNQQ,100,169.1746,330.8260,1.9555
AGYIQYQKJSRVSDJUPW6Z5KNI3GRQ,100,21.5927,341.3365,15.8079
AGSCLYM6ICDUYZPNL2EVMDECTYVA,100,48.4072,321.9812,6.6515
AEJUJLXYEFXUHS4YQTETBDYWZUXA,100,190.2857,318.6097,1.6744
AH3T7SU7USHPJ26STB3EGNFTDPSA,100,47.1395,344.7258,7.3129
AETQ662T5IP4NC524RTVV6ZWNOBQ,100,82.5859,322.5042,3.9051
AFPSDKWBOKQRKTD2GCKDOG5KMHJQ,100,360.3494,391.8996,1.0876
AET7LRH6MCYVFN4IELYHTGCRPE6Q,100,145.9812,324.7646,2.2247
AED3PQGKE2MP7OA6YA7ITROMHQEQ,100,78.4783,339.3555,4.3242
AFNWEYQ6IYHI6PXIDURCBE62P2BA,100,158.8758,231.9410,1.4599
AF4UB2PGVLHK45WF7I6OED36OQDA,100,142.7541,235.8615,1.6522
AHAFS4E6NJTO64CTO5KBPTN7KF5A,100,194.2954,192.8848,0.9927
AFP2CXPW657I6PLKLC7XRPJWUFJQ,100,9.2678,327.4602,35.3331
AGUREQYPLUPVADJ46BNP2KHJT4CA,100,201.6713,267.2975,1.3254
AGNWFBNXATPJXGLZ24PZ42I47Q6A,100,51.7001,395.5429,7.6507
AEMT3I6AICC5YI7Z5G2V4LEGYKPA,100,123.6869,326.8297,2.6424
AESVYYXWEFTU2N53XMDLBA45DDYA,100,83.8362,307.7167,3.6705
AED4A5D3XDKTGB566GFP7YQLSHBQ,100,88.2449,305.7426,3.4647
AG5LC5HSFYGJSK3AQGHEFHKX6ZWQ,100,14.0589,319.0091,22.6909
AED3HJLTUSJQBBK6H6726ARBBH6Q,100,45.1063,289.2363,6.4123
AGATU6QOCPNIZ3BFMXICJCKNGN2A,100,70.2832,337.1455,4.7970
AEWHLGO6FWZ4ZO7N6TX7I2FYO6EA,100,94.1872,294.8484,3.1304
AFLZUVWTQ54JZIKLCEW3YIMUGHHA,100,117.1346,252.5645,2.1562
AE3RVPQUALI4HMJUOSE6YE4VVMUA,100,107.2737,277.7638,2.5893
AHDNIUCTSZAY4XEMCN3QKD6NHY4Q,100,46.1938,308.8922,6.6869
AH5DZ3X7JLNNTZU6QNP72JXJ5NQQ,100,57.5140,339.2444,5.8985
AEOYWMLWQX43VA3EE4SZAZK4AOMA,100,89.7930,323.9129,3.6073
AFO2SXNWPO3ZX5SFC226HLM65YRQ,100,74.5631,259.8708,3.4852
AEDVEEUD4NZX7NYETDDN5N3HBJEA,100,30.2601,330.9028,10.9353
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_1,100,41.3993,287.8942,6.9541
AFYVMSSEWRVG6CEOM4PF7J6SSDUA,100,151.7259,268.2397,1.7679
AH5ESWZG6Q5ZEBQTOVP3NMJ5XYWA,100,37.0657,292.4431,7.8899
AHQQJATBFWW5TORPLQ4LQOGXKIWQ,100,124.2465,420.2934,3.3827
AFJ6BZFH6T6LBXYN5NKMBPTHRGDA,100,189.4561,224.8602,1.1869
AGAQBOI26SMK7M5KPF4PFK2S4OKQ,100,214.3351,304.5934,1.4211
AHCZ6MJHUWGYWZ3SXMD3QBBOFAPA,100,10.5211,309.3824,29.4060
AG3CK7F7NP5GM6BN6OHZJRWWF7QA,100,143.4860,250.1345,1.7433
AF77WIID7TAGOWST2NGGZQIRMEOA,100,276.9551,219.8379,0.7938
AELU7VBQWQH7VMYK6Q3CIU5C43RQ,100,179.6935,230.9408,1.2852
AH7EYATKZABJLZPV74F2UTJVZZKQ,100,12.4405,257.7831,20.7212
AEESOLSSR4LALOZ372WQ2PZBLLSA,100,162.5881,290.6135,1.7874
AEJKZRNBES64Q4UGI2WK6DEPL6OA,100,36.9562,302.0617,8.1735
AF43BDFHZRMABFFB57FXB5RVIXAA,100,21.3672,340.1574,15.9196
AGSIU3JOYC6CJLFFB7APDN3UGSHQ,100,242.4312,195.1091,0.8048
AF4AYT2KDUA3BZUYDOV54XGILQ2A,100,69.4063,375.6021,5.4116
AGW7SXB5FPGXDQKSUWGAGBTIUCKQ,100,143.9887,290.3344,2.0164
AEVZGLYUEQEYH3ACTQCPBU65KIKQ,100,82.3624,300.9777,3.6543
AFDNVPMB44ZS5O2CSJTL47BI2QTQ,100,199.6820,323.7444,1.6213
AHZGQXTGR3WB6CQR3PP2TB2YPTUA_2,100,70.6993,297.4506,4.2073
AFACZSTCNX6VMUJQGUK3YVE6CK5Q,100,11.8308,324.9861,27.4695
AFWG3VCBDRXV4MMDNVOFWS7J4TDA,100,78.5052,316.6554,4.0336
AGFUGF7QX5W4NIJ5NJISSMNZIILA,100,38.7881,320.1875,8.2548
AEBJEFYQMDZGCOGQMVO5OUL7C6TQ,100,89.9831,366.9698,4.0782
AFVOZ4UNUZKEQ7GTQ3IHQY7PZ5FA_1,100,85.8843,331.7522,3.8628
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_1,100,44.2460,290.7677,6.5716
AHAZFJIG2P27OH4KLTR2SMWMKW6Q,100,51.7724,283.0982,5.4681
AHPG65LKS3QKRWDUWAKZNLEK5RZQ_1,100,279.0717,318.8887,1.1427
AGYAFULM2L6YNLWUQWAM6SKXYGVA,100,200.5674,334.6165,1.6683
AE5MYIUHLA3BAMM2MFJXJQN6UPRQ,100,144.1679,291.2304,2.0201
AHZRUCQACCVHJ5W7VTYWOTZICVAA,100,144.9444,196.8778,1.3583
AFFSSZFCSN4TEOSSF23HO7ZOYD6Q,100,22.8930,349.9670,15.2871
AHVSRNKOWB3QKDODMMYIBX4MGZXA,100,116.8474,298.7745,2.5570
AE2B5CUQIA5ULZCR34UOPOXROEPA,100,97.1091,271.6136,2.7970
AETXGCF36FY7PP3RNVGTGZVWXO7Q,100,36.4387,355.9452,9.7683
AFMRNKCMPCQ5LK26BNF6TCIOUJOQ,100,31.1236,302.1711,9.7087
AFCMHYJTBQ6PGQWDCDWX2KP4GJ5Q,100,111.8612,344.7816,3.0822
AHNDQTIDT42KUEXE7PRP45ODX5IQ,100,21.3450,352.2978,16.5050
AGBWD5VMK2NVIAIXF7OINPOSC46A,100,375.7590,325.1262,0.8653
AFQGXKKBN5V3V5V7CY42FCQTAYHQ,100,141.4004,272.2238,1.9252
AFO33UNM62QYS3SHDST3HB2SXSXQ,100,92.3341,329.7487,3.5713
AHS5FPE6RHE4ITJ4SAVI67YVRNOQ,100,73.7458,345.4355,4.6841
AFXKCGO537IZNJ7PULRMGKGU67RQ,100,55.3904,322.6925,5.8258
AGLWDF5SJNRNIW2HHSD6ZPADUHQQ,100,38.7957,320.2377,8.2545
AEE33OSHYGNPVW65BJVDZQ5QWWUA,100,145.7467,309.6776,2.1248
AF7P3N4WIHMAVATNPD5MCDI5Y2KQ,100,24.7629,353.5246,14.2764
AEIOYAYGE2AU7LWLFRYRX4XPOWIQ,100,8.7239,271.1997,31.0870
AFLOM6HXIM7CJECSEUDVO4I3JXBA,100,92.8656,371.6353,4.0019
AGPIQK2GLZQLAF3BOENG2KHDXFVA,100,34.6720,316.7190,9.1347
AE23NZUELB4BYWLHKWJXAS73PTSQ,100,162.3300,249.9625,1.5398
