user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AE35OPCE4E5LOQAODQT5QTD5SFIQ,100,614.6407,310.0529,0.5044
AH4WEBZJR7MVVWIQFUYNPKKGRCWA,100,822.7029,347.0927,0.4219
AEFI22B7AS3VNNKN4DC5HADG77QQ,100,650.4905,260.7915,0.4009
AESDV676IPKF5Z2C2JJHNZDXZ4NA,100,799.4163,414.0537,0.5179
AEEMHCO2KYLSSU547E7HNK4PMAMA,100,644.2852,294.8884,0.4577
AGDOGDBA3K4KIWTOCBCWKC5C6NEQ,100,705.4091,357.5183,0.5068
AEA7GX2M4IUP4OTI7VFQ5QW35MGA,100,792.1430,325.3000,0.4107
AGHL4KJXMKZQKJUU5YIBPEM33YUQ,100,642.5912,297.4163,0.4628
AEGJUYLQ33YRTQUTCMCJNFRQ7SMQ,100,973.0012,310.9309,0.3196
AHOHXQZCEU3KDM3TPKZRNCJ3ITVA_2_2,100,610.8370,279.1129,0.4569
AEIEKUH6Z6OH2GVPS35MCF6C2YNQ,100,631.1076,338.5572,0.5364
AG7G7N62KQJ7MLTZ7ZYA5LRCMTNQ,100,953.7113,339.0338,0.3555
AFCAOJBDIAIIQUFMWEPZ4NCEL2PQ,100,634.7228,307.9710,0.4852
AEHAVZPKBIAPB7BTJJJ3RKGUIHAA,100,869.5204,317.8919,0.3656
AESPFWNUHN4G246P5CIB4BE5F7RQ,100,630.5935,323.1645,0.5125
AFZBRVQRMNE3RV6MZUYG4E5MZP2Q,100,740.0392,327.5487,0.4426
AEMMJOZ6MN462IVHK6GDTN2OWT6Q,100,974.5858,324.4536,0.3329
AGK7LQIMYOFD5UR6JTJYQNQHIP4Q,100,846.9928,411.3896,0.4857
AEIGRLFPH5Z3EQ73Z23CJ3WX6R6A,100,597.5346,292.0281,0.4887
AGVKHVURH5XGP6335AZCMGNTAAMQ,100,580.1238,297.7361,0.5132
AEJE3IIDZTTU3P36LWRHKGROEVIA,100,796.2339,340.1938,0.4273
AGBMWG5RST3LJWQ2YSOEISPVKSBQ,100,812.1919,354.5266,0.4365
AFNMO3HUDOYJG3NUBPQBY7Q6LKKA,100,811.9190,314.4715,0.3873
AF4MF2TEL724JVL42HY3LH2EZEOA,100,886.8485,397.8774,0.4486
AH5ONINJRNZ674DXUMV4RMYIFYVQ,100,762.7969,387.9045,0.5085
AF7TP6AYY2MOQ5YZ7UZN2U53GY5Q,100,801.3524,328.6154,0.4101
AG2XUDCCLTNCSR4AEIZ4UHZRFOSQ,100,553.8816,300.1523,0.5419
AE6SPZALZWZRHJVUFJD2YZWQ6LXA,100,878.2170,282.2189,0.3214
AHOEMNCGNZJMIS5RHBTTKMDDQU3A,100,853.5463,267.1798,0.3130
AG7PZ2PX5RJBIQYTFNIRY5QOWSOA,100,526.7852,206.9922,0.3929
AENGGJFDKQ2NVKLH5AASUYFZMXXQ,100,790.6915,302.8302,0.3830
AHGFE65TS742WVLX5LVITKOZM2CA,100,711.9173,282.2173,0.3964
AGN5KJZU3FYSKVWXWM66LXYWL5CQ,100,797.9479,306.5220,0.3841
AECKJ7U2IZYLGOYRGP62GJECL4GQ,100,772.0746,337.7263,0.4374
AHLA24J43UD2AKTINUBUWKEDPQHQ,100,522.5585,265.5512,0.5082
AE3RLEXEQRD2K7SCXE7HBCOMRDTA,100,903.3547,374.6489,0.4147
AEB2KGGJANOW27FHME4SJ3IIFGIA,100,770.8893,360.6974,0.4679
AGAG2PQ2KCR5GMH3CMIBKCBOZQSQ,100,459.4530,233.4894,0.5082
AHDKNBCGKFE7YQJCLD5CSAVGDKTA,100,651.1639,317.1104,0.4870
